label,spaceMission,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Gemini 7,http://www.wikidata.org/entity/Q119807,Cape Canaveral Air Force Station,United States of America,National Aeronautics and Space Administration,Jim Lovell,Cleveland,"28.488888888,-80.577777777"
Gemini 8,http://www.wikidata.org/entity/Q617651,Cape Canaveral Air Force Station,United States of America,National Aeronautics and Space Administration,David Scott,San Antonio,"28.488888888,-80.577777777"
Gemini 8,http://www.wikidata.org/entity/Q617651,Cape Canaveral Air Force Station,United States of America,National Aeronautics and Space Administration,Neil Armstrong,Wapakoneta,"28.488888888,-80.577777777"
Gemini 9A,http://www.wikidata.org/entity/Q519533,Cape Canaveral Air Force Station,United States of America,National Aeronautics and Space Administration,Eugene Cernan,Bellwood,"28.488888888,-80.577777777"
Gemini 9A,http://www.wikidata.org/entity/Q519533,Cape Canaveral Air Force Station,United States of America,National Aeronautics and Space Administration,Thomas P. Stafford,Oklahoma,"28.488888888,-80.577777777"
GeneSat-1,http://www.wikidata.org/entity/Q1501359,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,National Aeronautics and Space Administration,,,"37.85,-75.466666666"
Geosat,http://www.wikidata.org/entity/Q49959,Vandenberg AFB Space Launch Complex 3,United States of America,United States Navy,,,"34.643,-120.589"
Ginga,http://www.wikidata.org/entity/Q1524954,Uchinoura Space Center,Japan,Institute of Space and Astronautical Science,,,"31.251944444,131.081944444"
Ginrei,http://www.wikidata.org/entity/Q16060295,Yoshinobu Launch Complex,Japan,Shinshu University,,,"30.4022,130.975"
Glory,http://www.wikidata.org/entity/Q1532148,Vandenberg AFB Launch Complex 576,United States of America,Goddard Space Flight Center,,,"34.7394,-120.619"
Graham,http://www.wikidata.org/entity/Q13407657,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,Ames Research Center,,,"37.85,-75.466666666"
Greenhouse Gases Observing Satellite,http://www.wikidata.org/entity/Q925312,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
Göktürk-2,http://www.wikidata.org/entity/Q1186059,Jiuquan Satellite Launch Center,People's Republic of China,Ministry of National Defence,,,"40.9675,100.278611111"
HALCA,http://www.wikidata.org/entity/Q1617995,Uchinoura Space Center,Japan,Institute of Space and Astronautical Science,,,"31.251944444,131.081944444"
HTV-1,http://www.wikidata.org/entity/Q3267962,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
HYLAS 2,http://www.wikidata.org/entity/Q1357232,ELA-3,France,Avanti Communications,,,"5.2406,-52.7708"
HYLAS-1,http://www.wikidata.org/entity/Q1253371,ELA-3,France,Avanti Communications,,,"5.2406,-52.7708"
HYLAS-4,http://www.wikidata.org/entity/Q18481870,ELA-3,France,Avanti Communications,,,"5.2406,-52.7708"
Hayabusa 2,http://www.wikidata.org/entity/Q2113134,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
Hayato,http://www.wikidata.org/entity/Q5686150,Yoshinobu Launch Complex,Japan,Kagoshima University,,,"30.4022,130.975"
Hellas Sat 3,http://www.wikidata.org/entity/Q20055454,ELA-3,France,Hellas-Sat,,,"5.2406,-52.7708"
Hellas Sat 3,http://www.wikidata.org/entity/Q20055454,ELA-3,France,Inmarsat,,,"5.2406,-52.7708"
Heweliusz,http://www.wikidata.org/entity/Q18164984,Taiyuan Satellite Launch Center,People's Republic of China,Space Research Centre of Polish Academy of Sciences,,,"38.8491,111.608"
Heweliusz,http://www.wikidata.org/entity/Q18164984,Taiyuan Satellite Launch Center,People's Republic of China,Space Research Centre of Polish Academy of Sciences,,,"38.8489,111.608"
Himawari 8,http://www.wikidata.org/entity/Q18195739,Yoshinobu Launch Complex,Japan,Japan Meteorological Agency,,,"30.4022,130.975"
Himawari 9,http://www.wikidata.org/entity/Q18462890,Yoshinobu Launch Complex,Japan,Japan Meteorological Agency,,,"30.4022,130.975"
Hinode,http://www.wikidata.org/entity/Q570562,Uchinoura Space Center,Japan,Japan Aerospace Exploration Agency,,,"31.251944444,131.081944444"
Hinotori,http://www.wikidata.org/entity/Q50017,Uchinoura Space Center,Japan,Institute of Space and Astronautical Science,,,"31.251944444,131.081944444"
Hisaki (satellite),http://www.wikidata.org/entity/Q3459972,Uchinoura Space Center,Japan,Japan Aerospace Exploration Agency,,,"31.251944444,131.081944444"
Hispasat 1C,http://www.wikidata.org/entity/Q1620715,Spaceport Florida Launch Complex 36,United States of America,Hispasat,,,"28.470555555,-80.54"
Hispasat 30W-6,http://www.wikidata.org/entity/Q18463061,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,Hispasat,,,"28.5621,-80.5772"
Hispasat AG1,http://www.wikidata.org/entity/Q15727631,Ensemble de Lancement Soyouz,France,Hispasat,,,"5.301861,-52.834582"
Hitomi,http://www.wikidata.org/entity/Q298048,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
Horizons-2,http://www.wikidata.org/entity/Q1628132,ELA-3,France,Intelsat,,,"5.2406,-52.7708"
Hot Bird 13C,http://www.wikidata.org/entity/Q1378836,ELA-3,France,Eutelsat,,,"5.2406,-52.7708"
Hubble Space Telescope,http://www.wikidata.org/entity/Q2513,Kennedy Space Center Launch Complex 39,United States of America,European Space Agency,,,"28.6084,-80.6043"
Hubble Space Telescope,http://www.wikidata.org/entity/Q2513,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,,,"28.6084,-80.6043"
Huygens,http://www.wikidata.org/entity/Q714789,Cape Canaveral Air Force Station,United States of America,European Space Agency,,,"28.488888888,-80.577777777"
Huygens,http://www.wikidata.org/entity/Q714789,Cape Canaveral Air Force Station,United States of America,Italian Space Agency,,,"28.488888888,-80.577777777"
ICESat,http://www.wikidata.org/entity/Q50019,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
ICESat-2,http://www.wikidata.org/entity/Q5969535,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
IKAROS,http://www.wikidata.org/entity/Q609059,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
IMS-1,http://www.wikidata.org/entity/Q5972096,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
INSAT-1A,http://www.wikidata.org/entity/Q14914739,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Indian Space Research Organization,,,"28.4467,-80.5661"
INSAT-1B,http://www.wikidata.org/entity/Q14914742,Kennedy Space Center Launch Complex 39,United States of America,Indian Space Research Organization,,,"28.6084,-80.6043"
INSAT-3A,http://www.wikidata.org/entity/Q1536999,ELA-3,France,Indian Space Research Organization,,,"5.2406,-52.7708"
INSAT-3B,http://www.wikidata.org/entity/Q13115915,ELA-3,France,Indian Space Research Organization,,,"5.2406,-52.7708"
INSAT-3D,http://www.wikidata.org/entity/Q5972407,ELA-3,France,Indian Space Research Organization,,,"5.2406,-52.7708"
INSAT-3E,http://www.wikidata.org/entity/Q5972415,ELA-3,France,Indian Space Research Organization,,,"5.2406,-52.7708"
INSAT-4A,http://www.wikidata.org/entity/Q1664373,ELA-3,France,Indian Space Research Organization,,,"5.2406,-52.7708"
INSAT-4B,http://www.wikidata.org/entity/Q14559263,ELA-3,France,Indian Space Research Organization,,,"5.2406,-52.7708"
INSAT-4C,http://www.wikidata.org/entity/Q1664374,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
INSAT-4CR,http://www.wikidata.org/entity/Q5972412,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
INSAT-4E,http://www.wikidata.org/entity/Q5972416,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
INSAT-7,http://www.wikidata.org/entity/Q13112185,ELA-3,France,Indian Space Research Organization,,,"5.2406,-52.7708"
IRNSS-1A,http://www.wikidata.org/entity/Q113187,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRNSS-1B,http://www.wikidata.org/entity/Q16012990,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRNSS-1C,http://www.wikidata.org/entity/Q15694179,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRNSS-1D,http://www.wikidata.org/entity/Q15694173,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRNSS-1E,http://www.wikidata.org/entity/Q15694170,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
IRNSS-1G,http://www.wikidata.org/entity/Q19698208,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRNSS-1H,http://www.wikidata.org/entity/Q25428043,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
IRS-1D,http://www.wikidata.org/entity/Q5973578,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRS-P1,http://www.wikidata.org/entity/Q16632406,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRS-P2,http://www.wikidata.org/entity/Q14291045,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
IRS-P3,http://www.wikidata.org/entity/Q14291137,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
ITF-1,http://www.wikidata.org/entity/Q16632409,Yoshinobu Launch Complex,Japan,University of Tsukuba,,,"30.4022,130.975"
ITUpSAT1,http://www.wikidata.org/entity/Q5975034,Satish Dhawan Space Centre First Launch Pad,India,ITU School of Aeronautics and Astronautics,,,"13.733,80.235"
Ikonos,http://www.wikidata.org/entity/Q186049,Vandenberg AFB Space Launch Complex 6,United States of America,DigitalGlobe,,,"34.5814,-120.626"
InSight,http://www.wikidata.org/entity/Q1660590,Vandenberg AFB Space Launch Complex 3,United States of America,Jet Propulsion Laboratory,,,"34.643,-120.589"
InSight,http://www.wikidata.org/entity/Q1660590,Vandenberg AFB Space Launch Complex 3,United States of America,National Aeronautics and Space Administration,,,"34.643,-120.589"
Inmarsat-4A F4,http://www.wikidata.org/entity/Q1028735,ELA-3,France,European Space Agency,,,"5.2406,-52.7708"
Inmarsat-4A F4,http://www.wikidata.org/entity/Q1028735,ELA-3,France,Inmarsat,,,"5.2406,-52.7708"
Intelsat 11,http://www.wikidata.org/entity/Q6044220,ELA-3,France,Intelsat,,,"5.2406,-52.7708"
Intelsat 14,http://www.wikidata.org/entity/Q1665694,Cape Canaveral Air Force Station Space Launch Complex 41,United States of America,Intelsat,,,"28.5833,-80.5831"
Intelsat 1R,http://www.wikidata.org/entity/Q477398,ELA-3,France,PanAmSat,,,"5.2406,-52.7708"
Intelsat 20,http://www.wikidata.org/entity/Q1640509,ELA-3,France,Intelsat,,,"5.2406,-52.7708"
Intelsat 28,http://www.wikidata.org/entity/Q1982488,ELA-3,France,Intelsat,,,"5.2406,-52.7708"
Intelsat 34,http://www.wikidata.org/entity/Q18465843,ELA-3,France,Intelsat,,,"5.2406,-52.7708"
Intelsat 35e,http://www.wikidata.org/entity/Q18465848,Kennedy Space Center Launch Complex 39,United States of America,Intelsat,,,"28.6084,-80.6043"
Intelsat 603,http://www.wikidata.org/entity/Q592346,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,Intelsat,,,"28.5621,-80.5772"
Intelsat 604,http://www.wikidata.org/entity/Q14174490,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,Intelsat,,,"28.5621,-80.5772"
Intelsat 708,http://www.wikidata.org/entity/Q6044253,Xichang Satellite Launch Center,People's Republic of China,Intelsat,,,"28.246016666,102.026555555"
Intelsat I,http://www.wikidata.org/entity/Q1250614,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,COMSAT,,,"28.4467,-80.5661"
Intelsat II F-1,http://www.wikidata.org/entity/Q14771255,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Intelsat,,,"28.4467,-80.5661"
Intelsat II F-2,http://www.wikidata.org/entity/Q14771253,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Intelsat,,,"28.4467,-80.5661"
Intelsat II F-3,http://www.wikidata.org/entity/Q14771249,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Intelsat,,,"28.4467,-80.5661"
Intelsat II F-4,http://www.wikidata.org/entity/Q14771250,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Intelsat,,,"28.4467,-80.5661"
Intelsat III F-1,http://www.wikidata.org/entity/Q15931528,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Intelsat,,,"28.4467,-80.5661"
Intelsat III F-2,http://www.wikidata.org/entity/Q14771245,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Intelsat,,,"28.4467,-80.5661"
Intelsat III F-3,http://www.wikidata.org/entity/Q14771247,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Intelsat,,,"28.4467,-80.5661"
International Ultraviolet Explorer,http://www.wikidata.org/entity/Q51509,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Iridium 7,http://www.wikidata.org/entity/Q6069616,Vandenberg AFB Space Launch Complex 2,United States of America,Iridium Communications,,,"34.7545,-120.62"
JCSAT-4A,http://www.wikidata.org/entity/Q14174196,Spaceport Florida Launch Complex 36,United States of America,SKY Perfect JSAT Group,,,"28.470555555,-80.54"
JCSAT-RA,http://www.wikidata.org/entity/Q166872,ELA-3,France,SKY Perfect JSAT Group,,,"5.2406,-52.7708"
Jason-1,http://www.wikidata.org/entity/Q1970012,Vandenberg AFB Space Launch Complex 2,United States of America,CNES,,,"34.7545,-120.62"
Jason-1,http://www.wikidata.org/entity/Q1970012,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Jason-3,http://www.wikidata.org/entity/Q22026427,Vandenberg AFB Space Launch Complex 4,United States of America,CNES,,,"34.6327,-120.613"
Jason-3,http://www.wikidata.org/entity/Q22026427,Vandenberg AFB Space Launch Complex 4,United States of America,EUMETSAT,,,"34.6327,-120.613"
Jason-3,http://www.wikidata.org/entity/Q22026427,Vandenberg AFB Space Launch Complex 4,United States of America,National Aeronautics and Space Administration,,,"34.6327,-120.613"
Jason-3,http://www.wikidata.org/entity/Q22026427,Vandenberg AFB Space Launch Complex 4,United States of America,National Oceanic and Atmospheric Administration,,,"34.6327,-120.613"
Jugnu,http://www.wikidata.org/entity/Q3595879,Satish Dhawan Space Centre First Launch Pad,India,Indian Institute of Technology Kanpur,,,"13.733,80.235"
KSAT2,http://www.wikidata.org/entity/Q16632400,Yoshinobu Launch Complex,Japan,Kagoshima University,,,"30.4022,130.975"
Kalpana-1,http://www.wikidata.org/entity/Q51518,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
Kepler,http://www.wikidata.org/entity/Q47272,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Laboratory for Atmospheric and Space Physics,,,"28.4467,-80.5661"
Kepler,http://www.wikidata.org/entity/Q47272,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Kitsat-3,http://www.wikidata.org/entity/Q11227964,Satish Dhawan Space Centre First Launch Pad,India,KAIST,,,"13.733,80.235"
Korabl-Sputnik 1,http://www.wikidata.org/entity/Q373632,Gagarin's Start,Kazakhstan,Soviet space program,,,"45.920277777,63.342222222"
Korabl-Sputnik 2,http://www.wikidata.org/entity/Q823456,Gagarin's Start,Kazakhstan,Soviet space program,,,"45.920277777,63.342222222"
Korabl-Sputnik 3,http://www.wikidata.org/entity/Q940331,Gagarin's Start,Kazakhstan,Soviet space program,,,"45.920277777,63.342222222"
Korabl-Sputnik 4,http://www.wikidata.org/entity/Q18932,Gagarin's Start,Kazakhstan,Soviet space program,,,"45.920277777,63.342222222"
Korabl-Sputnik 5,http://www.wikidata.org/entity/Q18934,Gagarin's Start,Kazakhstan,Soviet space program,,,"45.920277777,63.342222222"
Kosmos 1001,http://www.wikidata.org/entity/Q1785034,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 1074,http://www.wikidata.org/entity/Q1785036,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 186 and Kosmos 188,http://www.wikidata.org/entity/Q545509,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 212,http://www.wikidata.org/entity/Q576582,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 213,http://www.wikidata.org/entity/Q830194,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 238,http://www.wikidata.org/entity/Q1096080,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 496,http://www.wikidata.org/entity/Q948527,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 573,http://www.wikidata.org/entity/Q1785053,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 613,http://www.wikidata.org/entity/Q1785056,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 638,http://www.wikidata.org/entity/Q1392129,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 670,http://www.wikidata.org/entity/Q1659519,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 672,http://www.wikidata.org/entity/Q1785062,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 772,http://www.wikidata.org/entity/Q1770788,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kosmos 869,http://www.wikidata.org/entity/Q1785059,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
Kounotori 2,http://www.wikidata.org/entity/Q3267958,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
Kounotori 3,http://www.wikidata.org/entity/Q3273069,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
Kounotori 4,http://www.wikidata.org/entity/Q14468029,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
Kounotori 6,http://www.wikidata.org/entity/Q19864752,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
Landsat 1,http://www.wikidata.org/entity/Q1816481,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Landsat 2,http://www.wikidata.org/entity/Q6485033,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Landsat 3,http://www.wikidata.org/entity/Q6485034,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Landsat 4,http://www.wikidata.org/entity/Q257457,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Landsat 5,http://www.wikidata.org/entity/Q3502357,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Landsat 6,http://www.wikidata.org/entity/Q3503015,Vandenberg AFB Space Launch Complex 4,United States of America,National Aeronautics and Space Administration,,,"34.6327,-120.613"
Landsat 7,http://www.wikidata.org/entity/Q605802,Vandenberg AFB Space Launch Complex 2,United States of America,United States Geological Survey,,,"34.7545,-120.62"
Landsat 8,http://www.wikidata.org/entity/Q6485036,Vandenberg AFB Space Launch Complex 3,United States of America,National Aeronautics and Space Administration,,,"34.643,-120.589"
Lem,http://www.wikidata.org/entity/Q11754062,Dombarovsky,Russia,Space Research Centre of Polish Academy of Sciences,,,"50.8,59.51666667"
Little Joe 1,http://www.wikidata.org/entity/Q1811537,Wallops Flight Facility,United States of America,National Aeronautics and Space Administration,,,"37.938611111,-75.457222222"
Little Joe 1B,http://www.wikidata.org/entity/Q1921503,Wallops Flight Facility,United States of America,National Aeronautics and Space Administration,,,"37.938611111,-75.457222222"
Little Joe 2,http://www.wikidata.org/entity/Q1921506,Wallops Flight Facility,United States of America,National Aeronautics and Space Administration,,,"37.938611111,-75.457222222"
Luna 13,http://www.wikidata.org/entity/Q935627,Gagarin's Start,Kazakhstan,Soviet Union,,,"45.920277777,63.342222222"
Luna 2,http://www.wikidata.org/entity/Q1159927,Gagarin's Start,Kazakhstan,Soviet Union,,,"45.920277777,63.342222222"
Luna 3,http://www.wikidata.org/entity/Q942814,Gagarin's Start,Kazakhstan,Soviet Union,,,"45.920277777,63.342222222"
Lunar Atmosphere and Dust Environment Explorer,http://www.wikidata.org/entity/Q601848,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,National Aeronautics and Space Administration,,,"37.85,-75.466666666"
Lunar Orbiter 3,http://www.wikidata.org/entity/Q1066370,Cape Canaveral Air Force Station Launch Complex 13,United States of America,National Aeronautics and Space Administration,,,"28.4864,-80.545"
Lunar Reconnaissance Orbiter,http://www.wikidata.org/entity/Q331778,Cape Canaveral Air Force Station Space Launch Complex 41,United States of America,National Aeronautics and Space Administration,,,"28.5833,-80.5831"
Lunokhod 1,http://www.wikidata.org/entity/Q261052,Baikonur Cosmodrome,Kazakhstan,Soviet Union,,,"45.9648,63.3051"
M-Cubed,http://www.wikidata.org/entity/Q6712042,Vandenberg AFB Space Launch Complex 2,United States of America,University of Michigan,,,"34.7545,-120.62"
MABES,http://www.wikidata.org/entity/Q11269500,Tanegashima Space Center,Japan,National Space Development Agency,,,"30.4,130.97"
MESSENGER,http://www.wikidata.org/entity/Q182539,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Applied Physics Laboratory,,,"28.4467,-80.5661"
MESSENGER,http://www.wikidata.org/entity/Q182539,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Magnetospheric Multiscale Mission,http://www.wikidata.org/entity/Q3277100,Cape Canaveral Air Force Station Space Launch Complex 41,United States of America,National Aeronautics and Space Administration,,,"28.5833,-80.5831"
Mariner 3,http://www.wikidata.org/entity/Q719652,Cape Canaveral Air Force Station Launch Complex 13,United States of America,National Aeronautics and Space Administration,,,"28.4864,-80.545"
Mars Climate Orbiter,http://www.wikidata.org/entity/Q574464,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Jet Propulsion Laboratory,,,"28.4467,-80.5661"
Mars Climate Orbiter,http://www.wikidata.org/entity/Q574464,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Mars Cube One,http://www.wikidata.org/entity/Q21027957,Vandenberg AFB Space Launch Complex 3,United States of America,National Aeronautics and Space Administration,,,"34.643,-120.589"
Mars Global Surveyor,http://www.wikidata.org/entity/Q206300,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Mars Orbiter Mission,http://www.wikidata.org/entity/Q2156739,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
Mars Polar Lander,http://www.wikidata.org/entity/Q575922,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Jet Propulsion Laboratory,,,"28.4467,-80.5661"
Mars Polar Lander,http://www.wikidata.org/entity/Q575922,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Megha-Tropiques,http://www.wikidata.org/entity/Q1493326,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
Mercury-Atlas 1,http://www.wikidata.org/entity/Q645695,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,,,"28.4911,-80.5469"
Mercury-Atlas 10,http://www.wikidata.org/entity/Q221105,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,Alan Shepard,Derry,"28.4911,-80.5469"
Mercury-Atlas 2,http://www.wikidata.org/entity/Q605662,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,,,"28.4911,-80.5469"
Mercury-Atlas 3,http://www.wikidata.org/entity/Q605642,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,,,"28.4911,-80.5469"
Mercury-Atlas 4,http://www.wikidata.org/entity/Q605618,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,,,"28.4911,-80.5469"
Mercury-Atlas 5,http://www.wikidata.org/entity/Q605092,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,,,"28.4911,-80.5469"
Mercury-Atlas 6,http://www.wikidata.org/entity/Q498533,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,John Glenn,Cambridge,"28.4911,-80.5469"
Mercury-Atlas 7,http://www.wikidata.org/entity/Q498680,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,Scott Carpenter,Boulder,"28.4911,-80.5469"
Mercury-Atlas 8,http://www.wikidata.org/entity/Q498689,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,Wally Schirra,Hackensack,"28.4911,-80.5469"
Mercury-Atlas 9,http://www.wikidata.org/entity/Q498722,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,Gordon Cooper,Shawnee,"28.4911,-80.5469"
Mercury-Atlas 9,http://www.wikidata.org/entity/Q498722,Cape Canaveral Air Force Station,United States of America,National Aeronautics and Space Administration,Gordon Cooper,Shawnee,"28.488888888,-80.577777777"
Mercury-Redstone 1A,http://www.wikidata.org/entity/Q684086,Cape Canaveral Air Force Station Launch Complex 5,United States of America,National Aeronautics and Space Administration,,,"28.4394,-80.5733"
Mercury-Redstone 2,http://www.wikidata.org/entity/Q1921530,Cape Canaveral Air Force Station Launch Complex 5,United States of America,National Aeronautics and Space Administration,Ham,Cameroon,"28.4394,-80.5733"
Mercury-Redstone 3,http://www.wikidata.org/entity/Q623903,Cape Canaveral Air Force Station Launch Complex 5,United States of America,National Aeronautics and Space Administration,Alan Shepard,Derry,"28.4394,-80.5733"
Mercury-Redstone 4,http://www.wikidata.org/entity/Q498406,Cape Canaveral Air Force Station Launch Complex 5,United States of America,National Aeronautics and Space Administration,Gus Grissom,Lawrence County,"28.4394,-80.5733"
Mercury-Redstone BD,http://www.wikidata.org/entity/Q1467675,Cape Canaveral Air Force Station Launch Complex 5,United States of America,National Aeronautics and Space Administration,,,"28.4394,-80.5733"
Mercury-Scout 1,http://www.wikidata.org/entity/Q605607,Cape Canaveral Air Force Station Launch Complex 18,United States of America,National Aeronautics and Space Administration,,,"28.4493,-80.5623"
Meteosat 8,http://www.wikidata.org/entity/Q6823492,ELA-3,France,EUMETSAT,,,"5.2406,-52.7708"
Mikhailo Lomonosov,http://www.wikidata.org/entity/Q18786081,Vostochny Cosmodrome Site 1S,Russia,Moscow State University,,,"51.884333333,128.334591666"
NOAA-15,http://www.wikidata.org/entity/Q6954799,Vandenberg AFB Space Launch Complex 4,United States of America,National Oceanic and Atmospheric Administration,,,"34.6327,-120.613"
