label,spaceMission,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Soyuz TMA-01M,http://www.wikidata.org/entity/Q518760,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Scott Kelly,Orange,"45.9648,63.3051"
Soyuz TMA-02M,http://www.wikidata.org/entity/Q832305,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Michael E. Fossum,Sioux Falls,"45.9648,63.3051"
Soyuz TMA-02M,http://www.wikidata.org/entity/Q832305,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Satoshi Furukawa,Yokohama,"45.9648,63.3051"
Soyuz TMA-02M,http://www.wikidata.org/entity/Q832305,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sergey Alexandrovich Volkov,Chuhuiv,"45.9648,63.3051"
Soyuz TMA-03M,http://www.wikidata.org/entity/Q1138999,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,André Kuipers,Amsterdam,"45.9648,63.3051"
Soyuz TMA-03M,http://www.wikidata.org/entity/Q1138999,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Donald Pettit,Silverton,"45.9648,63.3051"
Soyuz TMA-03M,http://www.wikidata.org/entity/Q1138999,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Kononenko,Türkmenabat,"45.9648,63.3051"
Soyuz TMA-04M,http://www.wikidata.org/entity/Q1386575,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Gennady Padalka,Krasnodar,"45.9648,63.3051"
Soyuz TMA-04M,http://www.wikidata.org/entity/Q1386575,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Joseph M. Acaba,Inglewood,"45.9648,63.3051"
Soyuz TMA-04M,http://www.wikidata.org/entity/Q1386575,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sergei Revin,Moscow,"45.9648,63.3051"
Soyuz TMA-05M,http://www.wikidata.org/entity/Q796537,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Akihiko Hoshide,Setagaya-ku,"45.9648,63.3051"
Soyuz TMA-05M,http://www.wikidata.org/entity/Q796537,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sunita Williams,Euclid,"45.9648,63.3051"
Soyuz TMA-05M,http://www.wikidata.org/entity/Q796537,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yuri Malenchenko,Svitlovodsk,"45.9648,63.3051"
Soyuz TMA-06M,http://www.wikidata.org/entity/Q1458391,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Evgeny Tarelkin,Shilkinsky District,"45.9648,63.3051"
Soyuz TMA-06M,http://www.wikidata.org/entity/Q1458391,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Kevin A. Ford,Portland,"45.9648,63.3051"
Soyuz TMA-06M,http://www.wikidata.org/entity/Q1458391,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Novitskiy,Chervyen,"45.9648,63.3051"
Soyuz TMA-07M,http://www.wikidata.org/entity/Q968429,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Chris Hadfield,Toronto,"45.9648,63.3051"
Soyuz TMA-07M,http://www.wikidata.org/entity/Q968429,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Roman Romanenko,Shchyolkovo,"45.9648,63.3051"
